RECORD TYPE,DOCUMENT NUMBER,SOURCE DOCUMENT TYPE,DOCUMENT DESCRIPTION,REQUISITION NUMBER,INPUT DATE,TOTAL AMOUNT,DEPARTMENT NUMBER,DEPARTMENT NAME,COST CENTER,COST CENTER NAME,DOCUMENT TYPE CODE,DOCUMENT TYPE DESCRIPTION,DOCUMENT STATUS CODE,DOCUMENT STATUS DESCRIPTION,VOUCHED AMOUNT,START DATE,EXPIRATION DATE,EXTENSION DATE,ANNUAL CONTRACT,VENDOR NAME 1,VENDOR NAME 2,VENDOR CITY,VENDOR STATE,VENDOR ZIP,VENDOR TYPE,GENDER,ETHNICITY,STATUS,CLASS,GEOGRAPHIC AREA,INDEPENDENT CONTRACTOR,MINORITY,DISADVANTAGED,DISABLED VETERAN,SB DISABLED VET,SB MINORITY,SB MINORITY WOMAN,SB NON-MINORITY,SB DISADVANTAGED,SB VETERAN,SB WOMAN,TOTAL ITEMS,ITEM NUMBER,ITEM DESCRIPTION,ITEM QUANTITY ORDERED,ITEM UNIT OF MEASURE,ITEM UNIT COST,ITEM TOTAL COST,COMMODITY CODE,COMMODITY DESCRIPTION,EXPENSE TYPE,EXPENSE TYPE DESCRIPTION
D,19000935,P,4029 AUTOMOTIVE AND TRAILER EQ,2194.0,02/05/2019,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,RANDALL R JONES,ABLE SAFE & LOCK,BATON ROUGE,LA,70816,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,2.0,UNIT#4029 LOCKS AND KEYS,1.0,EACH,55.0,55.0,31840.0,LOCKS AND KEYS,601220.0,COST OF GOODS-PARTS-NON INV
D,24006059,P,STOCK,8491.0,08/08/2024,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,HOLLINGSWORTH RICHARDS FORD,,BATON ROUGE,LA,70806,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,3.0,STOCKCORE,4.0,EACH,250.0,1000.0,6066.0,"PARTS AND ACCESSORIES, AUTOMOT",601210.0,COST OF GOODS-PARTS-INV
D,18006192,P,LIGHT FIXTURES FOR PARISH PRIS,10936.0,07/10/2018,0,7831.0,BLDG&GROUND,7831.0,PRISON MAINT,N,Normal,0.0,Closed,,,,,,NOTOCO INDUSTRIES LLC,,BATON ROUGE,LA,70816-4090,SUPPLIES,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,LED001811.4-15WT8/41K-2200,420.0,EACH,9.78,4107.6,28507.0,"BULB AND FIXTURE, CHANGER AND",632000.0,BUILDING MATERIALS
D,24004595,P,WELLS CARGO TRAILER,5013.0,06/10/2024,0,5210.0,EMS,5210.0,OPERATIONS,N,Normal,0.0,Closed,,,,,,MCCLAIN TRAILERS INC,,HOUSTON,TX,77020,CONVERSION,NOT PROVIDED,ETHNICITY NOT SPECIFIED,A,CORP,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,20.0,WASTE TIRE FEE,1.0,EACH,9.0,9.0,7305.0,"TRAILERS, CARGO, ENCLOSED",642250.0,WASTE COLLECT/DISPOSAL/RECYCLE
H,19000286,P,CM-MSS.32S THERMISTOR RELAY,732.0,01/11/2019,242,7753.0,ENV SERV,7753.0,SEWER-WWT-SOUTH PLANT,N,Normal,0.0,Closed,242.0,,,,,RALPHS INDUSTRIAL ELECTRONIC SUPPLIES,,LAFAYETTE,LA,70506,,,,A,CORP,INS,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,936.0,EQUIPMENT MAINTENANCE AND REPA,,
D,24001772,P,4417 56915-12 JASON,2730.0,03/04/2024,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,COVERS UNLIMITED INC,,BATON ROUGE,LA,70818,CONVERSION,NOT PROVIDED,ETHNICITY NOT SPECIFIED,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,4417 56915-12 JASON3 SPRING,1.0,EACH,803.37,803.37,6066.0,"PARTS AND ACCESSORIES, AUTOMOT",601220.0,COST OF GOODS-PARTS-NON INV
D,800004342,C,ALARM MNGT SOL(FAMS),10685.0,02/28/2022,0,5010.0,POLICE,5010.0,ADMINISTRATION,1,General,8.0,Posted,,,,,,PMAM CORPORATION,,DALLAS,TX,75240,PROFESSION,,,A,CORP,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,FALSE ALARM MNGT PROGRAM: COLLECTION AND ALL BILLING IN ACCORDANCE W/CITY OF BR ALARM ORDIANCE  INSTALL & OPERATE THE PROFESSIONAL ALARM MNGT PROGRAM PROVIDE NECESSARY SUPPLIES  EQUIPMENT  SOFTWARE & DATABASE. GENERATE REPORTS  CITY OF BR (BRPD)SHALL RECEIVE 80% OF FEES COLLECTED & PAY $10.00 PROCESSING FEE FOR EACH REFUND CHECK PROCESSED. ***CONTRACT NOT TO EXCEED $49 999.99 PER YEAR***                   ***MULTI-YEAR AGREEMENT***,1.0,,45999.0,45999.0,96339.0,FEES (NOT OTHERWISE CLASSIFIED,,
D,25001460,P,UNIT P21 WO 74700 EQUIP MAINTENANCE REPAIR,2136.0,02/24/2025,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,PRESTIGE ENTERPRISES LLC,PITSTOP TIRE & CAR CARE,BATON ROUGE,LA,70815,,MALE,ETHNICITY NOT SPECIFIED,A,PSHP,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,2.0,UNIT P21 PARTS AND ACCESSORIES  AUTOMOTIVE  MISCELLANEOUS (NOT OTHERWISE CLASSIFIED),1.0,EACH,233.36,233.36,6066.0,"PARTS AND ACCESSORIES, AUTOMOT",601300.0,COST OF GOODS-OUT PARTS/SRV
D,25006518,P,4417 82223-12 TRD,8986.0,09/19/2025,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,HOLMES BUILDING MATERIALS,,BATON ROUGE,LA,70806-1211,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,4417 82223-12 TRDZZ_SOL_17049 2X10X10 OAKPARTS AND ACCESSORIES  AUTOMOTIVE  MISCELLANEOUS (NOT OTHERWISE CLASSIFIED),2.0,EACH,61.54,123.08,6066.0,"PARTS AND ACCESSORIES, AUTOMOT",601220.0,COST OF GOODS-PARTS-NON INV
D,23000291,P,REPAIR OVEN @ PARISH PRISON KI,557.0,01/12/2023,0,7831.0,BLDG&GROUND,7831.0,PRISON MAINT,N,Normal,0.0,Closed,,,,,,CHANDLERS PARTS & SERVICE INC,,BATON ROUGE,LA,70815-2190,CONVERSION,,,A,CORP,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,2.0,IGNITOR WIREITEM# 961683-G1,8.0,EACH,52.52,420.16,28569.0,MISC. ELECTRICAL EQUIPMENT AND,632000.0,BUILDING MATERIALS
